"user_birth_year","user_career","user_sex","location_city","location_region","location_country","date","provider_name","site_type","site_price","develop_time","marketing_spend"
2002,"Orchestrator","Female","Dibba Al Hesn","Sharjah Emirate","United Arab Emirates","2023-11-20","GCP","Blog",19,135,927
2002,"Orchestrator","Female","Dibba Al Hesn","Sharjah Emirate","United Arab Emirates","2024-12-02","AWS","Personal",30,60,1536
1972,"Designer","Female","Saint George's","Saint George Parish","Grenada","2025-03-04","Azure","Portfolio",77,117,1938
1995,"Representative","Female","Hokuto-shi","Yamanashi Prefecture","Japan","2025-04-13","Azure","Personal",70,64,1210
1995,"Representative","Female","Hokuto-shi","Yamanashi Prefecture","Japan","2024-09-15","AWS","Personal",120,117,261
1995,"Representative","Female","Hokuto-shi","Yamanashi Prefecture","Japan","2023-12-01","GCP","Blog",165,101,1588
1984,"Technician","Male","Harar","Harari Region","Ethiopia","2023-10-18","GCP","Business",118,34,1327
1984,"Technician","Male","Harar","Harari Region","Ethiopia","2025-03-08","GCP","Blog",33,111,1525
1984,"Technician","Male","Harar","Harari Region","Ethiopia","2024-01-31","AWS","Business",143,56,517
1968,"Agent","Male","Kafr Miṣr","Northern District","Israel","2024-12-05","AWS","E-commerce",24,108,1736
2000,"Orchestrator","Male","Lower Niumi District","North Bank Division","The Gambia","2024-09-02","AWS","Personal",43,102,573
2000,"Orchestrator","Male","Lower Niumi District","North Bank Division","The Gambia","2024-12-23","AWS","Business",128,102,1536
1960,"Assistant","Female","Puli","Nantou","Taiwan","2023-08-08","GCP","Blog",151,174,1649
1960,"Assistant","Female","Puli","Nantou","Taiwan","2024-02-28","Azure","Personal",65,74,1612
1960,"Assistant","Female","Puli","Nantou","Taiwan","2023-05-24","Azure","Personal",46,87,1664
1960,"Assistant","Female","Puli","Nantou","Taiwan","2023-10-31","AWS","Blog",31,83,200
2001,"Engineer","Female","Nassau","New Providence","The Bahamas","2024-07-30","AWS","E-commerce",158,40,1031
2001,"Engineer","Female","Nassau","New Providence","The Bahamas","2025-02-12","Azure","Blog",183,176,1635
2001,"Engineer","Female","Nassau","New Providence","The Bahamas","2025-01-05","GCP","E-commerce",68,131,635
1971,"Specialist","Female","Barkly West","Northern Cape","South Africa","2025-04-14","AWS","E-commerce",149,140,329
1971,"Specialist","Female","Barkly West","Northern Cape","South Africa","2024-03-18","AWS","Personal",62,69,978
1974,"Engineer","Male","Az Zulfī","Riyadh","Saudi Arabia","2025-03-02","AWS","Blog",146,106,1771
1974,"Engineer","Male","Az Zulfī","Riyadh","Saudi Arabia","2023-06-01","GCP","E-commerce",65,74,1612
1974,"Engineer","Male","Az Zulfī","Riyadh","Saudi Arabia","2024-05-18","AWS","Portfolio",138,58,1912
1965,"Orchestrator","Male","Barranco Adentro","Bocas del Toro Province","Panama","2024-11-26","GCP","E-commerce",160,44,1066
1965,"Orchestrator","Male","Barranco Adentro","Bocas del Toro Province","Panama","2024-04-06","GCP","Business",18,12,1598
1965,"Orchestrator","Male","Barranco Adentro","Bocas del Toro Province","Panama","2024-11-23","Azure","Business",87,13,779
1974,"Technician","Female","El Husseiniya","Sharqia","Egypt","2023-06-17","Azure","E-commerce",76,156,1514
1974,"Technician","Female","El Husseiniya","Sharqia","Egypt","2023-11-26","AWS","Business",43,37,372
1974,"Technician","Female","El Husseiniya","Sharqia","Egypt","2024-06-20","Azure","Business",189,97,283
1974,"Technician","Female","El Husseiniya","Sharqia","Egypt","2023-05-22","GCP","Business",195,133,533
1977,"Specialist","Male","Speightstown","Saint Peter","Barbados","2023-04-30","GCP","Portfolio",175,105,940
1977,"Specialist","Male","Speightstown","Saint Peter","Barbados","2023-12-26","GCP","Business",141,179,1310
1994,"Associate","Female","Sabrum","Tripura","India","2024-02-14","AWS","E-commerce",26,96,846
1994,"Associate","Female","Sabrum","Tripura","India","2023-09-27","AWS","Blog",69,54,737
1994,"Associate","Female","Sabrum","Tripura","India","2024-05-02","GCP","Portfolio",67,102,1775
1994,"Associate","Female","Sabrum","Tripura","India","2023-08-05","AWS","Personal",42,112,773
1963,"Consultant","Male","Vau i Dejës","Shkodër District","Albania","2024-11-08","AWS","E-commerce",86,179,237
1963,"Consultant","Male","Vau i Dejës","Shkodër District","Albania","2025-04-03","GCP","Business",83,87,402
1966,"Developer","Female","Kapsan-ŭp","Ryanggang Province","North Korea","2025-01-26","Azure","Business",24,108,1736
1966,"Developer","Female","Kapsan-ŭp","Ryanggang Province","North Korea","2023-09-18","AWS","Personal",81,44,1744
1984,"Supervisor","Female","Khelvachauri","Adjara","Georgia","2024-12-28","Azure","E-commerce",90,99,1492
1984,"Supervisor","Female","Khelvachauri","Adjara","Georgia","2023-09-03","AWS","Business",171,160,657
1984,"Supervisor","Female","Khelvachauri","Adjara","Georgia","2024-11-10","Azure","Blog",50,42,978
1967,"Producer","Male","Cibitoke","Cibitoke Province","Burundi","2023-05-25","AWS","Portfolio",89,96,1822
1967,"Producer","Male","Cibitoke","Cibitoke Province","Burundi","2024-02-02","GCP","Portfolio",149,140,329
1997,"Technician","Female","Pyin Oo Lwin","Mandalay Region","Myanmar","2024-07-15","AWS","Business",70,64,1210
